"","X","t","n"
"20837",20837,"2009-06-18 20:00:00",103
"20838",20838,"2009-06-18 21:00:00",107
"20839",20839,"2009-06-18 22:00:00",92
"20840",20840,"2009-06-18 23:00:00",75
"20841",20841,"2009-06-19 00:00:00",201
"20842",20842,"2009-06-19 01:00:00",31
"20843",20843,"2009-06-19 02:00:00",33
"20844",20844,"2009-06-19 03:00:00",20
"20845",20845,"2009-06-19 04:00:00",16
"20846",20846,"2009-06-19 05:00:00",17
"20847",20847,"2009-06-19 06:00:00",22
"20848",20848,"2009-06-19 07:00:00",50
"20849",20849,"2009-06-19 08:00:00",87
"20850",20850,"2009-06-19 09:00:00",92
"20851",20851,"2009-06-19 10:00:00",97
"20852",20852,"2009-06-19 11:00:00",131
"20853",20853,"2009-06-19 12:00:00",112
"20854",20854,"2009-06-19 13:00:00",100
"20855",20855,"2009-06-19 14:00:00",114
"20856",20856,"2009-06-19 15:00:00",99
"20857",20857,"2009-06-19 16:00:00",108
"20858",20858,"2009-06-19 17:00:00",108
"20859",20859,"2009-06-19 18:00:00",101
"20860",20860,"2009-06-19 19:00:00",84
"20861",20861,"2009-06-19 20:00:00",90
"20862",20862,"2009-06-19 21:00:00",87
"20863",20863,"2009-06-19 22:00:00",79
"20864",20864,"2009-06-19 23:00:00",76
"20865",20865,"2009-06-20 00:00:00",179
"20866",20866,"2009-06-20 01:00:00",38
"20867",20867,"2009-06-20 02:00:00",20
"20868",20868,"2009-06-20 03:00:00",30
"20869",20869,"2009-06-20 04:00:00",13
"20870",20870,"2009-06-20 05:00:00",12
"20871",20871,"2009-06-20 06:00:00",21
"20872",20872,"2009-06-20 07:00:00",25
"20873",20873,"2009-06-20 08:00:00",51
"20874",20874,"2009-06-20 09:00:00",68
"20875",20875,"2009-06-20 10:00:00",80
"20876",20876,"2009-06-20 11:00:00",104
"20877",20877,"2009-06-20 12:00:00",91
"20878",20878,"2009-06-20 13:00:00",76
"20879",20879,"2009-06-20 14:00:00",59
"20880",20880,"2009-06-20 15:00:00",75
"20881",20881,"2009-06-20 16:00:00",65
"20882",20882,"2009-06-20 17:00:00",59
"20883",20883,"2009-06-20 18:00:00",72
"20884",20884,"2009-06-20 19:00:00",74
"20885",20885,"2009-06-20 20:00:00",62
"20886",20886,"2009-06-20 21:00:00",86
"20887",20887,"2009-06-20 22:00:00",92
"20888",20888,"2009-06-20 23:00:00",67
"20889",20889,"2009-06-21 00:00:00",163
"20890",20890,"2009-06-21 01:00:00",33
"20891",20891,"2009-06-21 02:00:00",21
"20892",20892,"2009-06-21 03:00:00",29
"20893",20893,"2009-06-21 04:00:00",31
"20894",20894,"2009-06-21 05:00:00",16
"20895",20895,"2009-06-21 06:00:00",22
"20896",20896,"2009-06-21 07:00:00",23
"20897",20897,"2009-06-21 08:00:00",45
"20898",20898,"2009-06-21 09:00:00",40
"20899",20899,"2009-06-21 10:00:00",41
"20900",20900,"2009-06-21 11:00:00",58
"20901",20901,"2009-06-21 12:00:00",68
"20902",20902,"2009-06-21 13:00:00",68
"20903",20903,"2009-06-21 14:00:00",54
"20904",20904,"2009-06-21 15:00:00",68
"20905",20905,"2009-06-21 16:00:00",87
"20906",20906,"2009-06-21 17:00:00",96
"20907",20907,"2009-06-21 18:00:00",110
"20908",20908,"2009-06-21 19:00:00",70
"20909",20909,"2009-06-21 20:00:00",65
"20910",20910,"2009-06-21 21:00:00",84
"20911",20911,"2009-06-21 22:00:00",84
"20912",20912,"2009-06-21 23:00:00",80
"20913",20913,"2009-06-22 00:00:00",188
"20914",20914,"2009-06-22 01:00:00",45
"20915",20915,"2009-06-22 02:00:00",19
"20916",20916,"2009-06-22 03:00:00",11
"20917",20917,"2009-06-22 04:00:00",14
"20918",20918,"2009-06-22 05:00:00",9
"20919",20919,"2009-06-22 06:00:00",24
"20920",20920,"2009-06-22 07:00:00",50
"20921",20921,"2009-06-22 08:00:00",57
"20922",20922,"2009-06-22 09:00:00",99
"20923",20923,"2009-06-22 10:00:00",98
"20924",20924,"2009-06-22 11:00:00",139
"20925",20925,"2009-06-22 12:00:00",127
"20926",20926,"2009-06-22 13:00:00",121
"20927",20927,"2009-06-22 14:00:00",114
"20928",20928,"2009-06-22 15:00:00",114
"20929",20929,"2009-06-22 16:00:00",106
"20930",20930,"2009-06-22 17:00:00",136
"20931",20931,"2009-06-22 18:00:00",76
"20932",20932,"2009-06-22 19:00:00",81
"20933",20933,"2009-06-22 20:00:00",89
"20934",20934,"2009-06-22 21:00:00",96
"20935",20935,"2009-06-22 22:00:00",125
"20936",20936,"2009-06-22 23:00:00",83
"20937",20937,"2009-06-23 00:00:00",167
"20938",20938,"2009-06-23 01:00:00",54
"20939",20939,"2009-06-23 02:00:00",34
"20940",20940,"2009-06-23 03:00:00",22
"20941",20941,"2009-06-23 04:00:00",15
"20942",20942,"2009-06-23 05:00:00",12
"20943",20943,"2009-06-23 06:00:00",19
"20944",20944,"2009-06-23 07:00:00",46
"20945",20945,"2009-06-23 08:00:00",90
"20946",20946,"2009-06-23 09:00:00",119
"20947",20947,"2009-06-23 10:00:00",121
"20948",20948,"2009-06-23 11:00:00",113
"20949",20949,"2009-06-23 12:00:00",114
"20950",20950,"2009-06-23 13:00:00",107
"20951",20951,"2009-06-23 14:00:00",151
"20952",20952,"2009-06-23 15:00:00",130
"20953",20953,"2009-06-23 16:00:00",98
"20954",20954,"2009-06-23 17:00:00",133
"20955",20955,"2009-06-23 18:00:00",102
"20956",20956,"2009-06-23 19:00:00",109
"20957",20957,"2009-06-23 20:00:00",104
"20958",20958,"2009-06-23 21:00:00",108
"20959",20959,"2009-06-23 22:00:00",129
"20960",20960,"2009-06-23 23:00:00",79
"20961",20961,"2009-06-24 00:00:00",243
"20962",20962,"2009-06-24 01:00:00",53
"20963",20963,"2009-06-24 02:00:00",29
"20964",20964,"2009-06-24 03:00:00",24
"20965",20965,"2009-06-24 04:00:00",21
"20966",20966,"2009-06-24 05:00:00",19
"20967",20967,"2009-06-24 06:00:00",24
"20968",20968,"2009-06-24 07:00:00",80
"20969",20969,"2009-06-24 08:00:00",75
"20970",20970,"2009-06-24 09:00:00",91
"20971",20971,"2009-06-24 10:00:00",92
"20972",20972,"2009-06-24 11:00:00",95
"20973",20973,"2009-06-24 12:00:00",117
"20974",20974,"2009-06-24 13:00:00",136
"20975",20975,"2009-06-24 14:00:00",125
"20976",20976,"2009-06-24 15:00:00",130
"20977",20977,"2009-06-24 16:00:00",126
"20978",20978,"2009-06-24 17:00:00",118
"20979",20979,"2009-06-24 18:00:00",120
"20980",20980,"2009-06-24 19:00:00",158
"20981",20981,"2009-06-24 20:00:00",101
"20982",20982,"2009-06-24 21:00:00",109
"20983",20983,"2009-06-24 22:00:00",74
"20984",20984,"2009-06-24 23:00:00",74
"20985",20985,"2009-06-25 00:00:00",244
"20986",20986,"2009-06-25 01:00:00",39
"20987",20987,"2009-06-25 02:00:00",36
"20988",20988,"2009-06-25 03:00:00",31
"20989",20989,"2009-06-25 04:00:00",18
"20990",20990,"2009-06-25 05:00:00",16
"20991",20991,"2009-06-25 06:00:00",22
"20992",20992,"2009-06-25 07:00:00",64
"20993",20993,"2009-06-25 08:00:00",79
"20994",20994,"2009-06-25 09:00:00",115
"20995",20995,"2009-06-25 10:00:00",132
"20996",20996,"2009-06-25 11:00:00",144
"20997",20997,"2009-06-25 12:00:00",126
"20998",20998,"2009-06-25 13:00:00",138
"20999",20999,"2009-06-25 14:00:00",133
"21000",21000,"2009-06-25 15:00:00",101
"21001",21001,"2009-06-25 16:00:00",157
"21002",21002,"2009-06-25 17:00:00",248
"21003",21003,"2009-06-25 18:00:00",195
"21004",21004,"2009-06-25 19:00:00",154
"21005",21005,"2009-06-25 20:00:00",129
"21006",21006,"2009-06-25 21:00:00",137
"21007",21007,"2009-06-25 22:00:00",98
"21008",21008,"2009-06-25 23:00:00",107
"21009",21009,"2009-06-26 00:00:00",224
"21010",21010,"2009-06-26 01:00:00",47
