"","X","t","n"
"16979",16979,"2009-01-09 02:00:00",1
"16980",16980,"2009-01-09 03:00:00",1
"16981",16981,"2009-01-09 04:00:00",0
"16982",16982,"2009-01-09 05:00:00",1
"16983",16983,"2009-01-09 06:00:00",2
"16984",16984,"2009-01-09 07:00:00",4
"16985",16985,"2009-01-09 08:00:00",4
"16986",16986,"2009-01-09 09:00:00",10
"16987",16987,"2009-01-09 10:00:00",3
"16988",16988,"2009-01-09 11:00:00",4
"16989",16989,"2009-01-09 12:00:00",6
"16990",16990,"2009-01-09 13:00:00",2
"16991",16991,"2009-01-09 14:00:00",7
"16992",16992,"2009-01-09 15:00:00",9
"16993",16993,"2009-01-09 16:00:00",11
"16994",16994,"2009-01-09 17:00:00",7
"16995",16995,"2009-01-09 18:00:00",2
"16996",16996,"2009-01-09 19:00:00",7
"16997",16997,"2009-01-09 20:00:00",4
"16998",16998,"2009-01-09 21:00:00",4
"16999",16999,"2009-01-09 22:00:00",8
"17000",17000,"2009-01-09 23:00:00",4
"17001",17001,"2009-01-10 00:00:00",8
"17002",17002,"2009-01-10 01:00:00",5
"17003",17003,"2009-01-10 02:00:00",1
"17004",17004,"2009-01-10 03:00:00",0
"17005",17005,"2009-01-10 04:00:00",0
"17006",17006,"2009-01-10 05:00:00",0
"17007",17007,"2009-01-10 06:00:00",1
"17008",17008,"2009-01-10 07:00:00",0
"17009",17009,"2009-01-10 08:00:00",1
"17010",17010,"2009-01-10 09:00:00",4
"17011",17011,"2009-01-10 10:00:00",4
"17012",17012,"2009-01-10 11:00:00",5
"17013",17013,"2009-01-10 12:00:00",2
"17014",17014,"2009-01-10 13:00:00",4
"17015",17015,"2009-01-10 14:00:00",4
"17016",17016,"2009-01-10 15:00:00",8
"17017",17017,"2009-01-10 16:00:00",10
"17018",17018,"2009-01-10 17:00:00",4
"17019",17019,"2009-01-10 18:00:00",12
"17020",17020,"2009-01-10 19:00:00",4
"17021",17021,"2009-01-10 20:00:00",4
"17022",17022,"2009-01-10 21:00:00",1
"17023",17023,"2009-01-10 22:00:00",3
"17024",17024,"2009-01-10 23:00:00",8
"17025",17025,"2009-01-11 00:00:00",1
"17026",17026,"2009-01-11 01:00:00",1
"17027",17027,"2009-01-11 02:00:00",0
"17028",17028,"2009-01-11 03:00:00",2
"17029",17029,"2009-01-11 04:00:00",3
"17030",17030,"2009-01-11 05:00:00",0
"17031",17031,"2009-01-11 06:00:00",2
"17032",17032,"2009-01-11 07:00:00",1
"17033",17033,"2009-01-11 08:00:00",2
"17034",17034,"2009-01-11 09:00:00",1
"17035",17035,"2009-01-11 10:00:00",4
"17036",17036,"2009-01-11 11:00:00",8
"17037",17037,"2009-01-11 12:00:00",5
"17038",17038,"2009-01-11 13:00:00",4
"17039",17039,"2009-01-11 14:00:00",1
"17040",17040,"2009-01-11 15:00:00",10
"17041",17041,"2009-01-11 16:00:00",9
"17042",17042,"2009-01-11 17:00:00",4
"17043",17043,"2009-01-11 18:00:00",11
"17044",17044,"2009-01-11 19:00:00",3
"17045",17045,"2009-01-11 20:00:00",5
"17046",17046,"2009-01-11 21:00:00",5
"17047",17047,"2009-01-11 22:00:00",3
"17048",17048,"2009-01-11 23:00:00",2
"17049",17049,"2009-01-12 00:00:00",0
"17050",17050,"2009-01-12 01:00:00",1
"17051",17051,"2009-01-12 02:00:00",1
"17052",17052,"2009-01-12 03:00:00",0
"17053",17053,"2009-01-12 04:00:00",0
"17054",17054,"2009-01-12 05:00:00",0
"17055",17055,"2009-01-12 06:00:00",1
"17056",17056,"2009-01-12 07:00:00",5
"17057",17057,"2009-01-12 08:00:00",9
"17058",17058,"2009-01-12 09:00:00",1
"17059",17059,"2009-01-12 10:00:00",2
"17060",17060,"2009-01-12 11:00:00",7
"17061",17061,"2009-01-12 12:00:00",4
"17062",17062,"2009-01-12 13:00:00",6
"17063",17063,"2009-01-12 14:00:00",9
"17064",17064,"2009-01-12 15:00:00",7
"17065",17065,"2009-01-12 16:00:00",3
"17066",17066,"2009-01-12 17:00:00",3
"17067",17067,"2009-01-12 18:00:00",2
"17068",17068,"2009-01-12 19:00:00",3
"17069",17069,"2009-01-12 20:00:00",12
"17070",17070,"2009-01-12 21:00:00",3
"17071",17071,"2009-01-12 22:00:00",5
"17072",17072,"2009-01-12 23:00:00",1
"17073",17073,"2009-01-13 00:00:00",4
"17074",17074,"2009-01-13 01:00:00",1
"17075",17075,"2009-01-13 02:00:00",0
"17076",17076,"2009-01-13 03:00:00",0
"17077",17077,"2009-01-13 04:00:00",0
"17078",17078,"2009-01-13 05:00:00",3
"17079",17079,"2009-01-13 06:00:00",4
"17080",17080,"2009-01-13 07:00:00",1
"17081",17081,"2009-01-13 08:00:00",9
"17082",17082,"2009-01-13 09:00:00",13
"17083",17083,"2009-01-13 10:00:00",7
"17084",17084,"2009-01-13 11:00:00",4
"17085",17085,"2009-01-13 12:00:00",8
"17086",17086,"2009-01-13 13:00:00",12
"17087",17087,"2009-01-13 14:00:00",20
"17088",17088,"2009-01-13 15:00:00",8
"17089",17089,"2009-01-13 16:00:00",14
"17090",17090,"2009-01-13 17:00:00",8
"17091",17091,"2009-01-13 18:00:00",6
"17092",17092,"2009-01-13 19:00:00",2
"17093",17093,"2009-01-13 20:00:00",5
"17094",17094,"2009-01-13 21:00:00",6
"17095",17095,"2009-01-13 22:00:00",10
"17096",17096,"2009-01-13 23:00:00",6
"17097",17097,"2009-01-14 00:00:00",0
"17098",17098,"2009-01-14 01:00:00",1
"17099",17099,"2009-01-14 02:00:00",0
"17100",17100,"2009-01-14 03:00:00",0
"17101",17101,"2009-01-14 04:00:00",2
"17102",17102,"2009-01-14 05:00:00",3
"17103",17103,"2009-01-14 06:00:00",2
"17104",17104,"2009-01-14 07:00:00",4
"17105",17105,"2009-01-14 08:00:00",2
"17106",17106,"2009-01-14 09:00:00",7
"17107",17107,"2009-01-14 10:00:00",2
"17108",17108,"2009-01-14 11:00:00",6
"17109",17109,"2009-01-14 12:00:00",4
"17110",17110,"2009-01-14 13:00:00",6
"17111",17111,"2009-01-14 14:00:00",6
"17112",17112,"2009-01-14 15:00:00",11
"17113",17113,"2009-01-14 16:00:00",14
"17114",17114,"2009-01-14 17:00:00",9
"17115",17115,"2009-01-14 18:00:00",9
"17116",17116,"2009-01-14 19:00:00",4
"17117",17117,"2009-01-14 20:00:00",4
"17118",17118,"2009-01-14 21:00:00",19
"17119",17119,"2009-01-14 22:00:00",10
"17120",17120,"2009-01-14 23:00:00",0
"17121",17121,"2009-01-15 00:00:00",1
"17122",17122,"2009-01-15 01:00:00",0
"17123",17123,"2009-01-15 02:00:00",0
"17124",17124,"2009-01-15 03:00:00",0
"17125",17125,"2009-01-15 04:00:00",0
"17126",17126,"2009-01-15 05:00:00",3
"17127",17127,"2009-01-15 06:00:00",2
"17128",17128,"2009-01-15 07:00:00",1
"17129",17129,"2009-01-15 08:00:00",8
"17130",17130,"2009-01-15 09:00:00",8
"17131",17131,"2009-01-15 10:00:00",11
"17132",17132,"2009-01-15 11:00:00",11
"17133",17133,"2009-01-15 12:00:00",15
"17134",17134,"2009-01-15 13:00:00",10
"17135",17135,"2009-01-15 14:00:00",4
"17136",17136,"2009-01-15 15:00:00",9
"17137",17137,"2009-01-15 16:00:00",4
"17138",17138,"2009-01-15 17:00:00",10
"17139",17139,"2009-01-15 18:00:00",10
"17140",17140,"2009-01-15 19:00:00",10
"17141",17141,"2009-01-15 20:00:00",6
"17142",17142,"2009-01-15 21:00:00",5
"17143",17143,"2009-01-15 22:00:00",5
"17144",17144,"2009-01-15 23:00:00",14
"17145",17145,"2009-01-16 00:00:00",13
"17146",17146,"2009-01-16 01:00:00",1
"17147",17147,"2009-01-16 02:00:00",0
"17148",17148,"2009-01-16 03:00:00",0
"17149",17149,"2009-01-16 04:00:00",1
"17150",17150,"2009-01-16 05:00:00",2
"17151",17151,"2009-01-16 06:00:00",4
"17152",17152,"2009-01-16 07:00:00",5
"17153",17153,"2009-01-16 08:00:00",7
"17154",17154,"2009-01-16 09:00:00",7
"17155",17155,"2009-01-16 10:00:00",9
"17156",17156,"2009-01-16 11:00:00",9
"17157",17157,"2009-01-16 12:00:00",2
"17158",17158,"2009-01-16 13:00:00",8
"17159",17159,"2009-01-16 14:00:00",6
"17160",17160,"2009-01-16 15:00:00",4
"17161",17161,"2009-01-16 16:00:00",3
"17162",17162,"2009-01-16 17:00:00",17
"17163",17163,"2009-01-16 18:00:00",7
"17164",17164,"2009-01-16 19:00:00",1
"17165",17165,"2009-01-16 20:00:00",5
"17166",17166,"2009-01-16 21:00:00",5
"17167",17167,"2009-01-16 22:00:00",4
"17168",17168,"2009-01-16 23:00:00",4
"17169",17169,"2009-01-17 00:00:00",2
"17170",17170,"2009-01-17 01:00:00",2
"17171",17171,"2009-01-17 02:00:00",0
"17172",17172,"2009-01-17 03:00:00",0
"17173",17173,"2009-01-17 04:00:00",0
"17174",17174,"2009-01-17 05:00:00",1
"17175",17175,"2009-01-17 06:00:00",0
"17176",17176,"2009-01-17 07:00:00",2
"17177",17177,"2009-01-17 08:00:00",0
"17178",17178,"2009-01-17 09:00:00",5
"17179",17179,"2009-01-17 10:00:00",3
"17180",17180,"2009-01-17 11:00:00",8
"17181",17181,"2009-01-17 12:00:00",4
"17182",17182,"2009-01-17 13:00:00",4
"17183",17183,"2009-01-17 14:00:00",10
"17184",17184,"2009-01-17 15:00:00",6
"17185",17185,"2009-01-17 16:00:00",12
"17186",17186,"2009-01-17 17:00:00",3
"17187",17187,"2009-01-17 18:00:00",7
"17188",17188,"2009-01-17 19:00:00",4
"17189",17189,"2009-01-17 20:00:00",8
"17190",17190,"2009-01-17 21:00:00",8
"17191",17191,"2009-01-17 22:00:00",2
"17192",17192,"2009-01-17 23:00:00",2
"17193",17193,"2009-01-18 00:00:00",3
"17194",17194,"2009-01-18 01:00:00",4
"17195",17195,"2009-01-18 02:00:00",1
"17196",17196,"2009-01-18 03:00:00",0
"17197",17197,"2009-01-18 04:00:00",0
"17198",17198,"2009-01-18 05:00:00",0
"17199",17199,"2009-01-18 06:00:00",1
"17200",17200,"2009-01-18 07:00:00",1
"17201",17201,"2009-01-18 08:00:00",1
"17202",17202,"2009-01-18 09:00:00",3
"17203",17203,"2009-01-18 10:00:00",4
"17204",17204,"2009-01-18 11:00:00",4
"17205",17205,"2009-01-18 12:00:00",4
"17206",17206,"2009-01-18 13:00:00",2
"17207",17207,"2009-01-18 14:00:00",3
"17208",17208,"2009-01-18 15:00:00",11
"17209",17209,"2009-01-18 16:00:00",1
"17210",17210,"2009-01-18 17:00:00",10
"17211",17211,"2009-01-18 18:00:00",10
"17212",17212,"2009-01-18 19:00:00",1
"17213",17213,"2009-01-18 20:00:00",9
"17214",17214,"2009-01-18 21:00:00",7
"17215",17215,"2009-01-18 22:00:00",4
"17216",17216,"2009-01-18 23:00:00",7
"17217",17217,"2009-01-19 00:00:00",0
