"","X","t","n"
"21450",21450,"2009-07-14 09:00:00",109
"21451",21451,"2009-07-14 10:00:00",147
"21452",21452,"2009-07-14 11:00:00",132
"21453",21453,"2009-07-14 12:00:00",178
"21454",21454,"2009-07-14 13:00:00",178
"21455",21455,"2009-07-14 14:00:00",134
"21456",21456,"2009-07-14 15:00:00",162
"21457",21457,"2009-07-14 16:00:00",171
"21458",21458,"2009-07-14 17:00:00",115
"21459",21459,"2009-07-14 18:00:00",150
"21460",21460,"2009-07-14 19:00:00",156
"21461",21461,"2009-07-14 20:00:00",142
"21462",21462,"2009-07-14 21:00:00",177
"21463",21463,"2009-07-14 22:00:00",216
"21464",21464,"2009-07-14 23:00:00",137
"21465",21465,"2009-07-15 00:00:00",284
"21466",21466,"2009-07-15 01:00:00",96
"21467",21467,"2009-07-15 02:00:00",48
"21468",21468,"2009-07-15 03:00:00",44
"21469",21469,"2009-07-15 04:00:00",12
"21470",21470,"2009-07-15 05:00:00",40
"21471",21471,"2009-07-15 06:00:00",31
"21472",21472,"2009-07-15 07:00:00",62
"21473",21473,"2009-07-15 08:00:00",91
"21474",21474,"2009-07-15 09:00:00",133
"21475",21475,"2009-07-15 10:00:00",142
"21476",21476,"2009-07-15 11:00:00",142
"21477",21477,"2009-07-15 12:00:00",173
"21478",21478,"2009-07-15 13:00:00",200
"21479",21479,"2009-07-15 14:00:00",198
"21480",21480,"2009-07-15 15:00:00",173
"21481",21481,"2009-07-15 16:00:00",138
"21482",21482,"2009-07-15 17:00:00",156
"21483",21483,"2009-07-15 18:00:00",150
"21484",21484,"2009-07-15 19:00:00",154
"21485",21485,"2009-07-15 20:00:00",148
"21486",21486,"2009-07-15 21:00:00",139
"21487",21487,"2009-07-15 22:00:00",139
"21488",21488,"2009-07-15 23:00:00",132
"21489",21489,"2009-07-16 00:00:00",345
"21490",21490,"2009-07-16 01:00:00",67
"21491",21491,"2009-07-16 02:00:00",64
"21492",21492,"2009-07-16 03:00:00",39
"21493",21493,"2009-07-16 04:00:00",22
"21494",21494,"2009-07-16 05:00:00",30
"21495",21495,"2009-07-16 06:00:00",56
"21496",21496,"2009-07-16 07:00:00",69
"21497",21497,"2009-07-16 08:00:00",104
"21498",21498,"2009-07-16 09:00:00",135
"21499",21499,"2009-07-16 10:00:00",160
"21500",21500,"2009-07-16 11:00:00",151
"21501",21501,"2009-07-16 12:00:00",188
"21502",21502,"2009-07-16 13:00:00",183
"21503",21503,"2009-07-16 14:00:00",163
"21504",21504,"2009-07-16 15:00:00",197
"21505",21505,"2009-07-16 16:00:00",184
"21506",21506,"2009-07-16 17:00:00",167
"21507",21507,"2009-07-16 18:00:00",183
"21508",21508,"2009-07-16 19:00:00",130
"21509",21509,"2009-07-16 20:00:00",120
"21510",21510,"2009-07-16 21:00:00",143
"21511",21511,"2009-07-16 22:00:00",130
"21512",21512,"2009-07-16 23:00:00",118
"21513",21513,"2009-07-17 00:00:00",302
"21514",21514,"2009-07-17 01:00:00",82
"21515",21515,"2009-07-17 02:00:00",40
"21516",21516,"2009-07-17 03:00:00",25
"21517",21517,"2009-07-17 04:00:00",26
"21518",21518,"2009-07-17 05:00:00",26
"21519",21519,"2009-07-17 06:00:00",29
"21520",21520,"2009-07-17 07:00:00",60
"21521",21521,"2009-07-17 08:00:00",100
"21522",21522,"2009-07-17 09:00:00",119
"21523",21523,"2009-07-17 10:00:00",196
"21524",21524,"2009-07-17 11:00:00",221
"21525",21525,"2009-07-17 12:00:00",182
"21526",21526,"2009-07-17 13:00:00",170
"21527",21527,"2009-07-17 14:00:00",184
"21528",21528,"2009-07-17 15:00:00",169
"21529",21529,"2009-07-17 16:00:00",147
"21530",21530,"2009-07-17 17:00:00",171
"21531",21531,"2009-07-17 18:00:00",156
"21532",21532,"2009-07-17 19:00:00",147
"21533",21533,"2009-07-17 20:00:00",129
"21534",21534,"2009-07-17 21:00:00",142
"21535",21535,"2009-07-17 22:00:00",185
"21536",21536,"2009-07-17 23:00:00",132
"21537",21537,"2009-07-18 00:00:00",229
"21538",21538,"2009-07-18 01:00:00",92
"21539",21539,"2009-07-18 02:00:00",83
"21540",21540,"2009-07-18 03:00:00",50
"21541",21541,"2009-07-18 04:00:00",36
"21542",21542,"2009-07-18 05:00:00",31
"21543",21543,"2009-07-18 06:00:00",40
"21544",21544,"2009-07-18 07:00:00",51
"21545",21545,"2009-07-18 08:00:00",56
"21546",21546,"2009-07-18 09:00:00",75
"21547",21547,"2009-07-18 10:00:00",107
"21548",21548,"2009-07-18 11:00:00",134
"21549",21549,"2009-07-18 12:00:00",159
"21550",21550,"2009-07-18 13:00:00",126
"21551",21551,"2009-07-18 14:00:00",121
"21552",21552,"2009-07-18 15:00:00",122
"21553",21553,"2009-07-18 16:00:00",120
"21554",21554,"2009-07-18 17:00:00",121
"21555",21555,"2009-07-18 18:00:00",138
"21556",21556,"2009-07-18 19:00:00",137
"21557",21557,"2009-07-18 20:00:00",176
"21558",21558,"2009-07-18 21:00:00",125
"21559",21559,"2009-07-18 22:00:00",114
"21560",21560,"2009-07-18 23:00:00",131
"21561",21561,"2009-07-19 00:00:00",308
"21562",21562,"2009-07-19 01:00:00",92
"21563",21563,"2009-07-19 02:00:00",93
"21564",21564,"2009-07-19 03:00:00",66
"21565",21565,"2009-07-19 04:00:00",29
