"","X","t","n"
"19857",19857,"2009-05-09 00:00:00",77
"19858",19858,"2009-05-09 01:00:00",15
"19859",19859,"2009-05-09 02:00:00",9
"19860",19860,"2009-05-09 03:00:00",2
"19861",19861,"2009-05-09 04:00:00",5
"19862",19862,"2009-05-09 05:00:00",7
"19863",19863,"2009-05-09 06:00:00",12
"19864",19864,"2009-05-09 07:00:00",14
"19865",19865,"2009-05-09 08:00:00",18
"19866",19866,"2009-05-09 09:00:00",43
"19867",19867,"2009-05-09 10:00:00",31
"19868",19868,"2009-05-09 11:00:00",44
"19869",19869,"2009-05-09 12:00:00",45
"19870",19870,"2009-05-09 13:00:00",57
"19871",19871,"2009-05-09 14:00:00",39
"19872",19872,"2009-05-09 15:00:00",38
"19873",19873,"2009-05-09 16:00:00",59
"19874",19874,"2009-05-09 17:00:00",40
"19875",19875,"2009-05-09 18:00:00",43
"19876",19876,"2009-05-09 19:00:00",44
"19877",19877,"2009-05-09 20:00:00",43
"19878",19878,"2009-05-09 21:00:00",41
"19879",19879,"2009-05-09 22:00:00",29
"19880",19880,"2009-05-09 23:00:00",29
"19881",19881,"2009-05-10 00:00:00",100
"19882",19882,"2009-05-10 01:00:00",10
"19883",19883,"2009-05-10 02:00:00",7
"19884",19884,"2009-05-10 03:00:00",9
"19885",19885,"2009-05-10 04:00:00",4
"19886",19886,"2009-05-10 05:00:00",1
"19887",19887,"2009-05-10 06:00:00",13
"19888",19888,"2009-05-10 07:00:00",20
"19889",19889,"2009-05-10 08:00:00",23
"19890",19890,"2009-05-10 09:00:00",30
"19891",19891,"2009-05-10 10:00:00",33
"19892",19892,"2009-05-10 11:00:00",25
"19893",19893,"2009-05-10 12:00:00",40
"19894",19894,"2009-05-10 13:00:00",27
"19895",19895,"2009-05-10 14:00:00",28
"19896",19896,"2009-05-10 15:00:00",31
"19897",19897,"2009-05-10 16:00:00",39
"19898",19898,"2009-05-10 17:00:00",25
"19899",19899,"2009-05-10 18:00:00",43
"19900",19900,"2009-05-10 19:00:00",41
"19901",19901,"2009-05-10 20:00:00",50
"19902",19902,"2009-05-10 21:00:00",37
"19903",19903,"2009-05-10 22:00:00",48
"19904",19904,"2009-05-10 23:00:00",34
"19905",19905,"2009-05-11 00:00:00",77
"19906",19906,"2009-05-11 01:00:00",16
"19907",19907,"2009-05-11 02:00:00",9
"19908",19908,"2009-05-11 03:00:00",9
"19909",19909,"2009-05-11 04:00:00",2
"19910",19910,"2009-05-11 05:00:00",5
"19911",19911,"2009-05-11 06:00:00",15
"19912",19912,"2009-05-11 07:00:00",21
"19913",19913,"2009-05-11 08:00:00",32
"19914",19914,"2009-05-11 09:00:00",40
"19915",19915,"2009-05-11 10:00:00",59
"19916",19916,"2009-05-11 11:00:00",67
"19917",19917,"2009-05-11 12:00:00",54
"19918",19918,"2009-05-11 13:00:00",59
"19919",19919,"2009-05-11 14:00:00",60
"19920",19920,"2009-05-11 15:00:00",65
"19921",19921,"2009-05-11 16:00:00",66
