"","X","t","n"
"19161",19161,"2009-04-10 00:00:00",28
"19162",19162,"2009-04-10 01:00:00",12
"19163",19163,"2009-04-10 02:00:00",9
"19164",19164,"2009-04-10 03:00:00",2
"19165",19165,"2009-04-10 04:00:00",5
"19166",19166,"2009-04-10 05:00:00",2
"19167",19167,"2009-04-10 06:00:00",2
"19168",19168,"2009-04-10 07:00:00",10
"19169",19169,"2009-04-10 08:00:00",22
"19170",19170,"2009-04-10 09:00:00",46
"19171",19171,"2009-04-10 10:00:00",38
"19172",19172,"2009-04-10 11:00:00",28
"19173",19173,"2009-04-10 12:00:00",38
"19174",19174,"2009-04-10 13:00:00",32
"19175",19175,"2009-04-10 14:00:00",33
"19176",19176,"2009-04-10 15:00:00",58
"19177",19177,"2009-04-10 16:00:00",49
"19178",19178,"2009-04-10 17:00:00",31
"19179",19179,"2009-04-10 18:00:00",35
"19180",19180,"2009-04-10 19:00:00",39
"19181",19181,"2009-04-10 20:00:00",9
"19182",19182,"2009-04-10 21:00:00",22
"19183",19183,"2009-04-10 22:00:00",26
"19184",19184,"2009-04-10 23:00:00",9
"19185",19185,"2009-04-11 00:00:00",48
"19186",19186,"2009-04-11 01:00:00",17
"19187",19187,"2009-04-11 02:00:00",9
"19188",19188,"2009-04-11 03:00:00",5
"19189",19189,"2009-04-11 04:00:00",1
"19190",19190,"2009-04-11 05:00:00",4
"19191",19191,"2009-04-11 06:00:00",4
"19192",19192,"2009-04-11 07:00:00",7
"19193",19193,"2009-04-11 08:00:00",15
"19194",19194,"2009-04-11 09:00:00",21
"19195",19195,"2009-04-11 10:00:00",23
"19196",19196,"2009-04-11 11:00:00",28
"19197",19197,"2009-04-11 12:00:00",23
"19198",19198,"2009-04-11 13:00:00",13
"19199",19199,"2009-04-11 14:00:00",25
"19200",19200,"2009-04-11 15:00:00",30
"19201",19201,"2009-04-11 16:00:00",20
"19202",19202,"2009-04-11 17:00:00",18
"19203",19203,"2009-04-11 18:00:00",27
"19204",19204,"2009-04-11 19:00:00",25
"19205",19205,"2009-04-11 20:00:00",28
"19206",19206,"2009-04-11 21:00:00",24
"19207",19207,"2009-04-11 22:00:00",65
"19208",19208,"2009-04-11 23:00:00",14
"19209",19209,"2009-04-12 00:00:00",50
"19210",19210,"2009-04-12 01:00:00",15
"19211",19211,"2009-04-12 02:00:00",9
"19212",19212,"2009-04-12 03:00:00",4
"19213",19213,"2009-04-12 04:00:00",2
"19214",19214,"2009-04-12 05:00:00",6
"19215",19215,"2009-04-12 06:00:00",8
"19216",19216,"2009-04-12 07:00:00",4
"19217",19217,"2009-04-12 08:00:00",12
"19218",19218,"2009-04-12 09:00:00",21
"19219",19219,"2009-04-12 10:00:00",25
"19220",19220,"2009-04-12 11:00:00",21
"19221",19221,"2009-04-12 12:00:00",26
"19222",19222,"2009-04-12 13:00:00",19
"19223",19223,"2009-04-12 14:00:00",17
"19224",19224,"2009-04-12 15:00:00",18
"19225",19225,"2009-04-12 16:00:00",8
"19226",19226,"2009-04-12 17:00:00",17
"19227",19227,"2009-04-12 18:00:00",31
"19228",19228,"2009-04-12 19:00:00",11
"19229",19229,"2009-04-12 20:00:00",18
"19230",19230,"2009-04-12 21:00:00",20
"19231",19231,"2009-04-12 22:00:00",20
"19232",19232,"2009-04-12 23:00:00",17
"19233",19233,"2009-04-13 00:00:00",28
"19234",19234,"2009-04-13 01:00:00",16
"19235",19235,"2009-04-13 02:00:00",5
"19236",19236,"2009-04-13 03:00:00",2
"19237",19237,"2009-04-13 04:00:00",7
"19238",19238,"2009-04-13 05:00:00",5
"19239",19239,"2009-04-13 06:00:00",11
"19240",19240,"2009-04-13 07:00:00",10
"19241",19241,"2009-04-13 08:00:00",18
"19242",19242,"2009-04-13 09:00:00",21
"19243",19243,"2009-04-13 10:00:00",39
"19244",19244,"2009-04-13 11:00:00",29
"19245",19245,"2009-04-13 12:00:00",21
"19246",19246,"2009-04-13 13:00:00",32
"19247",19247,"2009-04-13 14:00:00",22
"19248",19248,"2009-04-13 15:00:00",31
"19249",19249,"2009-04-13 16:00:00",34
"19250",19250,"2009-04-13 17:00:00",36
"19251",19251,"2009-04-13 18:00:00",30
"19252",19252,"2009-04-13 19:00:00",31
"19253",19253,"2009-04-13 20:00:00",36
"19254",19254,"2009-04-13 21:00:00",33
"19255",19255,"2009-04-13 22:00:00",31
"19256",19256,"2009-04-13 23:00:00",16
"19257",19257,"2009-04-14 00:00:00",50
"19258",19258,"2009-04-14 01:00:00",11
"19259",19259,"2009-04-14 02:00:00",9
"19260",19260,"2009-04-14 03:00:00",7
"19261",19261,"2009-04-14 04:00:00",4
"19262",19262,"2009-04-14 05:00:00",2
"19263",19263,"2009-04-14 06:00:00",12
"19264",19264,"2009-04-14 07:00:00",9
"19265",19265,"2009-04-14 08:00:00",34
"19266",19266,"2009-04-14 09:00:00",41
"19267",19267,"2009-04-14 10:00:00",35
"19268",19268,"2009-04-14 11:00:00",46
"19269",19269,"2009-04-14 12:00:00",32
"19270",19270,"2009-04-14 13:00:00",47
"19271",19271,"2009-04-14 14:00:00",37
"19272",19272,"2009-04-14 15:00:00",45
"19273",19273,"2009-04-14 16:00:00",44
"19274",19274,"2009-04-14 17:00:00",36
"19275",19275,"2009-04-14 18:00:00",44
"19276",19276,"2009-04-14 19:00:00",29
"19277",19277,"2009-04-14 20:00:00",35
"19278",19278,"2009-04-14 21:00:00",36
"19279",19279,"2009-04-14 22:00:00",30
"19280",19280,"2009-04-14 23:00:00",25
"19281",19281,"2009-04-15 00:00:00",40
"19282",19282,"2009-04-15 01:00:00",14
"19283",19283,"2009-04-15 02:00:00",8
"19284",19284,"2009-04-15 03:00:00",5
"19285",19285,"2009-04-15 04:00:00",9
"19286",19286,"2009-04-15 05:00:00",11
"19287",19287,"2009-04-15 06:00:00",5
"19288",19288,"2009-04-15 07:00:00",17
"19289",19289,"2009-04-15 08:00:00",46
"19290",19290,"2009-04-15 09:00:00",52
"19291",19291,"2009-04-15 10:00:00",45
"19292",19292,"2009-04-15 11:00:00",53
"19293",19293,"2009-04-15 12:00:00",34
"19294",19294,"2009-04-15 13:00:00",39
"19295",19295,"2009-04-15 14:00:00",39
"19296",19296,"2009-04-15 15:00:00",30
"19297",19297,"2009-04-15 16:00:00",57
"19298",19298,"2009-04-15 17:00:00",37
"19299",19299,"2009-04-15 18:00:00",25
"19300",19300,"2009-04-15 19:00:00",44
"19301",19301,"2009-04-15 20:00:00",39
"19302",19302,"2009-04-15 21:00:00",33
"19303",19303,"2009-04-15 22:00:00",21
"19304",19304,"2009-04-15 23:00:00",27
"19305",19305,"2009-04-16 00:00:00",47
"19306",19306,"2009-04-16 01:00:00",12
"19307",19307,"2009-04-16 02:00:00",6
"19308",19308,"2009-04-16 03:00:00",17
"19309",19309,"2009-04-16 04:00:00",8
"19310",19310,"2009-04-16 05:00:00",7
"19311",19311,"2009-04-16 06:00:00",13
"19312",19312,"2009-04-16 07:00:00",27
"19313",19313,"2009-04-16 08:00:00",25
"19314",19314,"2009-04-16 09:00:00",29
"19315",19315,"2009-04-16 10:00:00",61
"19316",19316,"2009-04-16 11:00:00",60
"19317",19317,"2009-04-16 12:00:00",48
"19318",19318,"2009-04-16 13:00:00",51
"19319",19319,"2009-04-16 14:00:00",43
"19320",19320,"2009-04-16 15:00:00",43
"19321",19321,"2009-04-16 16:00:00",31
"19322",19322,"2009-04-16 17:00:00",45
"19323",19323,"2009-04-16 18:00:00",43
"19324",19324,"2009-04-16 19:00:00",33
"19325",19325,"2009-04-16 20:00:00",76
"19326",19326,"2009-04-16 21:00:00",58
"19327",19327,"2009-04-16 22:00:00",43
"19328",19328,"2009-04-16 23:00:00",23
"19329",19329,"2009-04-17 00:00:00",65
"19330",19330,"2009-04-17 01:00:00",24
"19331",19331,"2009-04-17 02:00:00",12
"19332",19332,"2009-04-17 03:00:00",8
"19333",19333,"2009-04-17 04:00:00",11
"19334",19334,"2009-04-17 05:00:00",7
"19335",19335,"2009-04-17 06:00:00",6
"19336",19336,"2009-04-17 07:00:00",20
"19337",19337,"2009-04-17 08:00:00",42
"19338",19338,"2009-04-17 09:00:00",50
"19339",19339,"2009-04-17 10:00:00",46
"19340",19340,"2009-04-17 11:00:00",44
"19341",19341,"2009-04-17 12:00:00",63
"19342",19342,"2009-04-17 13:00:00",57
"19343",19343,"2009-04-17 14:00:00",44
"19344",19344,"2009-04-17 15:00:00",48
"19345",19345,"2009-04-17 16:00:00",38
"19346",19346,"2009-04-17 17:00:00",26
"19347",19347,"2009-04-17 18:00:00",34
"19348",19348,"2009-04-17 19:00:00",48
"19349",19349,"2009-04-17 20:00:00",55
"19350",19350,"2009-04-17 21:00:00",37
"19351",19351,"2009-04-17 22:00:00",44
"19352",19352,"2009-04-17 23:00:00",35
"19353",19353,"2009-04-18 00:00:00",36
"19354",19354,"2009-04-18 01:00:00",20
"19355",19355,"2009-04-18 02:00:00",12
"19356",19356,"2009-04-18 03:00:00",5
"19357",19357,"2009-04-18 04:00:00",11
"19358",19358,"2009-04-18 05:00:00",12
"19359",19359,"2009-04-18 06:00:00",7
"19360",19360,"2009-04-18 07:00:00",13
"19361",19361,"2009-04-18 08:00:00",26
"19362",19362,"2009-04-18 09:00:00",28
"19363",19363,"2009-04-18 10:00:00",38
"19364",19364,"2009-04-18 11:00:00",44
"19365",19365,"2009-04-18 12:00:00",46
"19366",19366,"2009-04-18 13:00:00",44
"19367",19367,"2009-04-18 14:00:00",34
"19368",19368,"2009-04-18 15:00:00",64
"19369",19369,"2009-04-18 16:00:00",44
"19370",19370,"2009-04-18 17:00:00",36
"19371",19371,"2009-04-18 18:00:00",40
"19372",19372,"2009-04-18 19:00:00",42
"19373",19373,"2009-04-18 20:00:00",68
"19374",19374,"2009-04-18 21:00:00",30
"19375",19375,"2009-04-18 22:00:00",34
"19376",19376,"2009-04-18 23:00:00",38
"19377",19377,"2009-04-19 00:00:00",48
"19378",19378,"2009-04-19 01:00:00",14
"19379",19379,"2009-04-19 02:00:00",10
"19380",19380,"2009-04-19 03:00:00",5
"19381",19381,"2009-04-19 04:00:00",8
"19382",19382,"2009-04-19 05:00:00",2
"19383",19383,"2009-04-19 06:00:00",7
"19384",19384,"2009-04-19 07:00:00",13
"19385",19385,"2009-04-19 08:00:00",17
"19386",19386,"2009-04-19 09:00:00",28
"19387",19387,"2009-04-19 10:00:00",28
"19388",19388,"2009-04-19 11:00:00",36
"19389",19389,"2009-04-19 12:00:00",35
"19390",19390,"2009-04-19 13:00:00",29
"19391",19391,"2009-04-19 14:00:00",40
"19392",19392,"2009-04-19 15:00:00",29
"19393",19393,"2009-04-19 16:00:00",16
"19394",19394,"2009-04-19 17:00:00",13
"19395",19395,"2009-04-19 18:00:00",19
"19396",19396,"2009-04-19 19:00:00",22
"19397",19397,"2009-04-19 20:00:00",35
"19398",19398,"2009-04-19 21:00:00",50
"19399",19399,"2009-04-19 22:00:00",47
"19400",19400,"2009-04-19 23:00:00",42
"19401",19401,"2009-04-20 00:00:00",88
"19402",19402,"2009-04-20 01:00:00",11
"19403",19403,"2009-04-20 02:00:00",6
"19404",19404,"2009-04-20 03:00:00",5
"19405",19405,"2009-04-20 04:00:00",9
"19406",19406,"2009-04-20 05:00:00",9
"19407",19407,"2009-04-20 06:00:00",15
"19408",19408,"2009-04-20 07:00:00",19
"19409",19409,"2009-04-20 08:00:00",30
"19410",19410,"2009-04-20 09:00:00",45
"19411",19411,"2009-04-20 10:00:00",38
"19412",19412,"2009-04-20 11:00:00",33
"19413",19413,"2009-04-20 12:00:00",33
"19414",19414,"2009-04-20 13:00:00",55
"19415",19415,"2009-04-20 14:00:00",58
"19416",19416,"2009-04-20 15:00:00",58
"19417",19417,"2009-04-20 16:00:00",27
"19418",19418,"2009-04-20 17:00:00",43
"19419",19419,"2009-04-20 18:00:00",48
"19420",19420,"2009-04-20 19:00:00",44
"19421",19421,"2009-04-20 20:00:00",51
"19422",19422,"2009-04-20 21:00:00",36
"19423",19423,"2009-04-20 22:00:00",31
"19424",19424,"2009-04-20 23:00:00",22
"19425",19425,"2009-04-21 00:00:00",45
"19426",19426,"2009-04-21 01:00:00",14
"19427",19427,"2009-04-21 02:00:00",10
"19428",19428,"2009-04-21 03:00:00",3
"19429",19429,"2009-04-21 04:00:00",5
"19430",19430,"2009-04-21 05:00:00",8
